match_id,season_id,home_team_id,home_team_goal
838599,2,8635,2
838600,2,9985,2
838602,2,9997,3
838603,2,9994,1
838604,2,8571,1
838605,2,8203,5
838606,2,9989,0
838607,2,9984,2
838621,2,8342,2
838622,2,9991,3
838623,2,9987,1
838624,2,9993,0
838625,2,10000,1
838628,2,9986,0
838630,2,6351,2
838632,2,10001,2
838635,2,8635,2
838636,2,9985,1
838639,2,9997,0
838640,2,8571,4
838641,2,8203,2
838642,2,9989,2
838644,2,10001,1
838646,2,9984,0
838651,2,8342,2
838652,2,9991,1
838654,2,9987,3
838656,2,9993,0
838657,2,10000,1
838658,2,9986,0
838659,2,9994,3
838661,2,6351,0
838664,2,8342,0
838665,2,9991,4
838667,2,9993,0
838669,2,10000,2
838671,2,9986,1
838673,2,9994,3
838675,2,9989,1
838676,2,6351,3
838677,2,8635,4
838679,2,9985,7
838680,2,9987,1
838681,2,9997,2
838684,2,8571,0
838686,2,8203,0
838688,2,10001,1
838689,2,9984,1
838692,2,8342,4
838694,2,9993,0
838695,2,9997,1
838696,2,10000,1
838698,2,9986,0
838699,2,9994,2
838701,2,9989,2
838702,2,6351,0
838707,2,8635,0
838709,2,9985,1
838710,2,9991,2
838712,2,9987,5
838713,2,8571,3
838714,2,8203,0
838716,2,10001,1
838718,2,9984,1
838478,2,8342,4
838479,2,9991,0
838481,2,9993,0
838482,2,10000,1
838484,2,9986,0
838486,2,9994,1
838487,2,9989,1
838489,2,6351,0
838720,2,8342,0
838721,2,9993,2
838723,2,9997,0
838725,2,10000,2
838727,2,9994,2
838728,2,8571,2
838730,2,9989,1
838732,2,6351,1
838733,2,8635,6
838734,2,9991,0
838735,2,9987,1
838736,2,9986,2
838738,2,8203,1
838739,2,6351,0
838741,2,10001,1
838742,2,9984,1
838746,2,8342,5
838748,2,9985,3
838750,2,9993,0
838752,2,9997,0
838753,2,10000,2
838754,2,9994,2
838755,2,8571,0
838757,2,9989,2
838759,2,8635,2
838761,2,9991,2
838764,2,9987,3
838765,2,9993,3
838767,2,9986,0
838768,2,6351,1
838770,2,10001,3
838772,2,9984,3
838773,2,8342,1
838774,2,9985,2
838775,2,9997,1
838777,2,10000,0
838778,2,9994,0
838780,2,8571,2
838781,2,8203,0
838783,2,9989,1
838789,2,8635,2
838790,2,9991,4
838791,2,9987,1
838792,2,9993,1
838794,2,9986,2
838796,2,6351,0
838798,2,10001,2
838800,2,9984,0
838802,2,8342,2
838804,2,8635,1
838806,2,9985,0
838808,2,9997,1
838809,2,9994,1
838810,2,8571,0
838812,2,8203,3
838814,2,9989,2
838815,2,8342,2
838817,2,9991,4
838819,2,9987,1
838820,2,9993,3
838822,2,10000,1
838823,2,9986,1
838825,2,6351,0
838827,2,10001,2
838829,2,8635,1
838830,2,9985,2
838832,2,9997,1
838833,2,9994,2
838835,2,8571,3
838838,2,8203,1
838839,2,9989,1
838841,2,9984,0
838853,2,8342,4
838854,2,9991,1
838855,2,9987,0
838857,2,9993,1
838859,2,10000,1
838861,2,9986,0
838862,2,9994,1
838864,2,6351,1
838491,2,8635,4
838493,2,9985,3
838494,2,9991,2
838495,2,9987,5
838496,2,8571,2
838498,2,8203,1
838499,2,10001,1
838500,2,9984,3
838867,2,8635,3
838869,2,9985,1
838871,2,9997,0
838872,2,8571,2
838873,2,8203,2
838874,2,9989,0
838875,2,10001,2
838876,2,9984,0
838503,2,8342,1
838504,2,9993,0
838506,2,9997,1
838508,2,10000,4
838510,2,9986,1
838511,2,9994,0
838513,2,9989,1
838515,2,6351,1
838517,2,8635,0
838518,2,9985,1
838519,2,9991,1
838520,2,9987,4
838521,2,9986,2
838523,2,8203,0
838524,2,10001,1
838526,2,9984,1
838528,2,8342,2
838529,2,9985,2
838531,2,9993,1
838532,2,9997,0
838534,2,10000,0
838536,2,9994,3
838537,2,8571,1
838539,2,9989,2
838540,2,8635,3
838542,2,9991,5
838543,2,9987,3
838544,2,9986,0
838546,2,8203,1
838547,2,6351,0
838550,2,10001,2
838552,2,9984,4
838555,2,8342,4
838556,2,9985,2
838558,2,9997,0
838560,2,10000,4
838561,2,9994,3
838562,2,8571,1
838563,2,8203,2
838564,2,9989,1
838567,2,8635,5
838568,2,9991,2
838570,2,9987,3
838571,2,9993,2
838573,2,9986,0
838575,2,6351,0
838576,2,10001,1
838578,2,9984,2
1032692,3,1773,2
1032693,3,9998,1
1032694,3,9987,3
1032695,3,9991,0
1032696,3,9994,0
1032697,3,8571,1
1032698,3,8203,2
1032699,3,8342,5
1032764,3,8342,2
1032765,3,8635,5
1032766,3,9997,2
1032767,3,10000,1
1032768,3,1773,1
1032769,3,9994,3
1032770,3,8203,1
1032771,3,9998,3
1032772,3,9985,1
1032773,3,9987,2
1032774,3,9991,3
1032775,3,9993,2
1032776,3,8571,2
1032777,3,9989,0
1032778,3,10001,1
1032779,3,9984,2
1032780,3,8342,4
1032781,3,8635,4
1032782,3,9997,1
1032783,3,10000,1
1032784,3,1773,3
1032785,3,9994,1
1032786,3,8203,1
1032787,3,9998,1
1032788,3,9985,2
1032789,3,9987,2
1032790,3,9991,6
1032791,3,9993,2
1032792,3,10000,0
1032793,3,9989,3
1032794,3,10001,2
1032795,3,9984,1
1032796,3,8342,1
1032797,3,8635,3
1032798,3,9987,3
1032799,3,1773,1
1032800,3,9994,1
1032801,3,8571,0
1032802,3,8203,1
1032803,3,9998,2
1032804,3,9985,3
1032805,3,9991,2
1032806,3,9993,0
1032807,3,9997,2
1032808,3,10000,2
1032809,3,9989,0
1032810,3,10001,2
1032811,3,9984,1
1032812,3,8635,0
1032813,3,9985,0
1032814,3,9993,2
1032815,3,9997,2
1032816,3,10000,1
1032817,3,9989,2
1032818,3,10001,0
1032819,3,9984,1
1032820,3,8342,1
1032821,3,9987,4
1032822,3,1773,2
1032823,3,9994,1
1032824,3,8571,1
1032825,3,8203,2
1032826,3,9998,0
1032827,3,9991,0
1032828,3,8635,3
1032829,3,9985,0
1032830,3,9997,0
1032831,3,10000,2
1032832,3,1773,3
1032833,3,9989,2
1032834,3,10001,3
1032835,3,9984,0
1032836,3,8342,1
1032837,3,9987,4
1032838,3,9991,3
1032839,3,9993,0
1032840,3,9994,0
1032841,3,8571,2
1032842,3,8203,2
1032843,3,9998,1
1032700,3,8635,3
1032701,3,9985,3
1032702,3,9993,2
1032703,3,9997,3
1032704,3,10000,2
1032705,3,9989,0
1032706,3,10001,0
1032707,3,9984,1
1032844,3,8635,3
1032845,3,9985,6
1032846,3,9997,0
1032847,3,10000,1
1032848,3,1773,1
1032849,3,8203,4
